DECLARATION ID,DECLARATION DATE,IMPORTER_TIN,IMPORT_COMPANY_NAME,COUNTRY OF ORIGIN,HS CODE,FOB VALUE
ADDA1097537,5.Mar.22,102156501,VELLEGE SUPERMARKET LTD.,United Kingdom,180690000000.0,28725.88
ADDL1097747,5.Mar.22,104967116,VEETTEL PUBLIC LIMITED COMPANY,Viet Nam,850211000000.0,88927300.0
ADDA1097647,5.Mar.22,100104326,KNK AUTOMOBILES LTD.,United Kingdom,870899000000.0,115923.93
ADDL1096958,5.Mar.22,138895203,PLUSTEKH LIMITED,Poland,870121000000.0,19127453.8
ADNG1097895,5.Mar.22,103930480,LENGHERN PUBLISHERS LIMITED,Kenya,490199000000.0,157127.0
ADDL1097354,5.Mar.22,107116249,NETREX INTERNATIONAL (T) LIMITED.,China,590390000000.0,4504802.94
ADDA1097642,5.Mar.22,100148544,NULTEKHEEKE LTD,Netherlands,854390000000.0,45272.08
ADDA1097733,5.Mar.22,100233118,SEE SALT LIMITED,India,790700000000.0,69294.0
ADDL1097522,5.Mar.22,136238779,EPPE AGENCIES COMPANY LIMITED,China,940550000000.0,1651507.0
ADDA1097537,5.Mar.22,102156501,VELLEGE SUPERMARKET LTD.,United Kingdom,220299000000.0,98824.45
ADDA1097733,5.Mar.22,100233118,SEE SALT LIMITED,India,850110000000.0,577450.0
ADDA1097537,5.Mar.22,102156501,VELLEGE SUPERMARKET LTD.,United Kingdom,170490000000.0,34508.16
ADTP1097907,5.Mar.22,107053670,NEWENE LIMESTONE LIMITED.,China,721631000000.0,16513661.02
ADDL1097646,5.Mar.22,130201121,KENGLEEN INVESTMENT COMPANY LIMITED,China,870422000000.0,1674605.0
ADDA1097537,5.Mar.22,102156501,VELLEGE SUPERMARKET LTD.,United Kingdom,200799000000.0,22108.72
ADDA1097572,5.Mar.22,100105721,KBEE MOTORS LIMITED,Germany,870899000000.0,17244773.84
ADDA1097537,5.Mar.22,102156501,VELLEGE SUPERMARKET LTD.,United Kingdom,220299000000.0,16357.36
ADAM1097387,5.Mar.22,100250241,SENRVEK MINING AND CONSTRUCTION LIMITED,Sweden,820713000000.0,18256613.0
ADDA1097537,5.Mar.22,102156501,VELLEGE SUPERMARKET LTD.,United Kingdom,180690000000.0,35404.88
ADDL1097441,5.Mar.22,102036697,EURE CABLES LIMITED.,China,721720000000.0,29935008.0
ADDL1097649,5.Mar.22,119398568,ENENRE NGENDAGE WALTER,China,841480000000.0,923920.0
ADDA1097537,5.Mar.22,102156501,VELLEGE SUPERMARKET LTD.,United Kingdom,20329000000.0,32436.44
ADTM1097590,5.Mar.22,109629227,KETEVE MINING COMPANY LIMITED,Zambia,293090000000.0,22058590.0
ADDL1097708,5.Mar.22,134557842,REYNELRS CONSTRUCTION COMPANY (NIGERIA) LIMITED,Israel,401291000000.0,7622340.0
ADDL1096929,5.Mar.22,134737107,NEREV ENTERPRISES CO.LIMITED,China,871121000000.0,1027861.0
ADNG1097861,5.Mar.22,100503425,BERKE OIL & SOAP LIMITED,Kenya,340119000000.0,588999.0
ADNG1097269,5.Mar.22,102997417,STETPEKK LIMITED.,Kenya,392113000000.0,292004.92
ADDL1097646,5.Mar.22,130201121,KENGLEEN INVESTMENT COMPANY LIMITED,China,870422000000.0,1674605.0
ADDA1097733,5.Mar.22,100233118,SEE SALT LIMITED,India,842290000000.0,221740.8
ADDA1097537,5.Mar.22,102156501,VELLEGE SUPERMARKET LTD.,United Kingdom,220299000000.0,24087.69
ADDL1097522,5.Mar.22,136238779,EPPE AGENCIES COMPANY LIMITED,China,850231000000.0,3464700.0
ADDA1097537,5.Mar.22,102156501,VELLEGE SUPERMARKET LTD.,United Kingdom,190219000000.0,43908.24
ADDA1097537,5.Mar.22,102156501,VELLEGE SUPERMARKET LTD.,United Kingdom,220210000000.0,73901.89
ADDL1097477,5.Mar.22,100145049,GENENE PRINTERS LTD.,Belgium,480420000000.0,34592835.19
ADDA1097537,5.Mar.22,102156501,VELLEGE SUPERMARKET LTD.,United Kingdom,220210000000.0,46289.18
ADDL1097646,5.Mar.22,130201121,KENGLEEN INVESTMENT COMPANY LIMITED,China,870422000000.0,1674605.0
ADDA1097537,5.Mar.22,102156501,VELLEGE SUPERMARKET LTD.,United Kingdom,220299000000.0,16975.79
ADDA1097537,5.Mar.22,102156501,VELLEGE SUPERMARKET LTD.,United Kingdom,20329000000.0,23500.18
ADTP1097897,5.Mar.22,107053670,NEWENE LIMESTONE LIMITED.,China,854449000000.0,14579457.6
ADDA1097572,5.Mar.22,100105721,KBEE MOTORS LIMITED,Italy,401693000000.0,46164.85
ADDL1097426,5.Mar.22,129064064,KETEX INDUSTRIES LIMITED,United Arab Emirates,390230000000.0,150783744.0
ADDA1097537,5.Mar.22,102156501,VELLEGE SUPERMARKET LTD.,United Kingdom,20329000000.0,23747.55
ADDL1097646,5.Mar.22,130201121,KENGLEEN INVESTMENT COMPANY LIMITED,China,870422000000.0,1674605.0
ADDA1097026,5.Mar.22,100914905,KKB BANK LIMITED,United Arab Emirates,852352000000.0,831066.04
ADDA1097537,5.Mar.22,102156501,VELLEGE SUPERMARKET LTD.,United Kingdom,210390000000.0,49412.23
ADMK1097798,5.Mar.22,129602244,LESSE COMPANY LIMITED,Uganda,691090000000.0,3418504.0
ADDL1096929,5.Mar.22,134737107,NEREV ENTERPRISES CO.LIMITED,China,871121000000.0,1027861.0
ADDA1097537,5.Mar.22,102156501,VELLEGE SUPERMARKET LTD.,United Kingdom,210390000000.0,117717.36
ADDA1097537,5.Mar.22,102156501,VELLEGE SUPERMARKET LTD.,United Kingdom,210691000000.0,34570.01
ADTM1097952,6.Mar.22,109455334,SUNESTER TRADERS LIMITED.,Zambia,440799000000.0,4080910.97
ADDA1098020,6.Mar.22,140981966,KNS LIMITED,Bermuda,843143000000.0,2669107.56
ADHO1097955,6.Mar.22,100102781,KEKE-KELE KWANZA LTD.,Kenya,220210000000.0,11613674.4
ADDA1098121,6.Mar.22,110781512,PERGENEN GROUP LIMITED,Bulgaria,847050000000.0,219564550.9
ADAM1097962,6.Mar.22,104596169,ELLEER MINING SERVICES LIMITED,Australia,611610000000.0,2217408.0
ADDL1098106,6.Mar.22,134832703,ETHUNEN SAID KIMEZA,Japan,870324000000.0,4242733.03
ADMK1098099,6.Mar.22,100129434,KEGERE SUGAR LTD.,Republic of South Africa,840999000000.0,11843804.46
ADDL1099979,7.Mar.22,137042614,KK GLOBAL LIMITED,United Kingdom,843352000000.0,927638.79
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,40299000000.0,98917.22
ADKR1099505,7.Mar.22,102902157,ENRBEYENR LIMITED,China,853669000000.0,1452107.98
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,210691000000.0,95361.27
ADSR1099821,7.Mar.22,134907371,VEKENT ZACHARIA CHACHA,Kenya,721061000000.0,94239840.0
ADDA1099780,7.Mar.22,134075880,LEKE STEEL & ALLIED PRODUCTS LIMITED,India,854690000000.0,2019920.1
ADDA1098661,7.Mar.22,100144875,NEREGERE AUTOMOBILE CENTRE LTD.,Germany,401693000000.0,21367.88
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,151790000000.0,53710.29
ADDL1099964,7.Mar.22,136238779,EPPE AGENCIES COMPANY LIMITED,China,392691000000.0,2309.8
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,180690000000.0,23160.05
ADDL1098236,7.Mar.22,114185019,BELEKEEN JOHN BUKOMBE (MR),China,871494000000.0,1385880.0
ADHL1098822,7.Mar.22,100168200,GUPTE AUTO SPARES & HARDWARE LTD.,China,401291000000.0,808430.0
ADDL1099416,7.Mar.22,100250241,SENRVEK MINING AND CONSTRUCTION LIMITED,China,847490000000.0,36338605.13
ADKR1099505,7.Mar.22,102902157,ENRBEYENR LIMITED,China,853710000000.0,201956.56
ADDL1099964,7.Mar.22,136238779,EPPE AGENCIES COMPANY LIMITED,China,871499000000.0,554352.0
ADDL1099815,7.Mar.22,153914702,EL-UNNEL PROCESSING AND MINING SERVICES LIMITED,China,847420000000.0,3695680.0
ADDA1099425,7.Mar.22,106820805,RENGETE CEMENT LIMITED,Turkey,401699000000.0,1407465.07
ADDL1099221,7.Mar.22,111013349,STK CONSTRUCTION COMPANY LIMITED,China,690721000000.0,808430.0
ADDL1099403,7.Mar.22,138895203,PLUSTEKH LIMITED,Sweden,870121000000.0,18380487.58
ADDL1098466,7.Mar.22,140478954,BELEKEEN MATHIAS SHITOBELO,China,392490000000.0,665222.4
ADDL1098674,7.Mar.22,148161720,NR PHENSON NSIMA JUSTINE,Japan,870323000000.0,2979642.0
ADDA1098138,7.Mar.22,123679717,PESTE INDUSTRIES LIMITED,Italy,731815000000.0,5118.05
ADTM1098621,7.Mar.22,100206188,BULYENHULU GOLD MINE LIMITED,Republic of South Africa,730722000000.0,10972936.49
ADTM1099523,7.Mar.22,100231166,NETSEK (T) LTD,Zambia,854449000000.0,64064612.8
ADKR1099505,7.Mar.22,102902157,ENRBEYENR LIMITED,Republic of South Africa,620799000000.0,10995654.78
ADDL1099221,7.Mar.22,111013349,STK CONSTRUCTION COMPANY LIMITED,China,761010000000.0,127801.23
ADDA1098661,7.Mar.22,100144875,NEREGERE AUTOMOBILE CENTRE LTD.,Germany,841330000000.0,145096.85
ADDA1098507,7.Mar.22,117840417,PREPER EDUCATION NETWORK COMPANY LTD,United Kingdom,490199000000.0,46381.94
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,180690000000.0,321334.08
ADDL1099813,7.Mar.22,122855929,STEG INTERNATIONAL SERVICES,China,731815000000.0,31662738.4
ADDL1099396,7.Mar.22,153882940,SELE GUANGZHOU JV,China,854690000000.0,21361030.4
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,40310000000.0,124303.6
ADDA1099907,7.Mar.22,133069143,KENU EQUIPMENT LIMITED,Republic of South Africa,843149000000.0,159768.87
ADDL1098794,7.Mar.22,121911329,SEEBEE TRUCKPARTS,China,842123000000.0,1657281.5
ADDL1098794,7.Mar.22,121911329,SEEBEE TRUCKPARTS,China,870899000000.0,4508729.6
ADDL1099473,7.Mar.22,148518505,NR AMOS BUJIKU WIGAYI,Japan,870324000000.0,4049356.58
ADDL1099657,7.Mar.22,100115387,KER & GENERAL TRADING LTD,India,870322000000.0,3792691.6
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,40310000000.0,157698.59
ADTM1098182,7.Mar.22,119700108,SELVERLENRS LIMITED,Zambia,230400000000.0,38042406.0
ADKR1099505,7.Mar.22,102902157,ENRBEYENR LIMITED,Republic of South Africa,630259000000.0,1135914.75
ADDA1098662,7.Mar.22,101060195,NEREKEL STORES DEPARTMENT.,India,300490000000.0,541936363.0
ADKR1099505,7.Mar.22,102902157,ENRBEYENR LIMITED,China,701110000000.0,327143.45
ADDL1099630,7.Mar.22,100115387,KER & GENERAL TRADING LTD,India,870322000000.0,3792691.6
ADDA1098363,7.Mar.22,100149192,NEK PUBLIC LIMITED COMPANY,Hungary,851770000000.0,1322421.73
ADDL1099153,7.Mar.22,100101505,L. N. SHAH (1977) LTD.,India,950300000000.0,315980.64
ADDL1099673,7.Mar.22,129457643,KENGEZE INVESTMENT COMPANY LIMITED,China,630293000000.0,6929400.0
ADDA1098665,7.Mar.22,111443025,ENVENTEENS TECHNOLOGIES COMPANY LIMITED,United Arab Emirates,847130000000.0,286299.71
ADDA1098927,7.Mar.22,102294661,THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS IN,United States,490199000000.0,24021.92
ADDA1099227,7.Mar.22,100146193,NENTREK LIMITED,China,851150000000.0,3009577.01
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,180690000000.0,75602.56
ADDA1100001,7.Mar.22,128829180,PELN GREEN LIMITED,Romania,842123000000.0,1626653.55
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,40221000000.0,33364.08
ADDL1099274,7.Mar.22,123663918,GSN LIMITED,China,401120000000.0,38111700.0
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,180690000000.0,43258.89
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,180690000000.0,23160.05
ADAM1099999,7.Mar.22,128368973,EUNS (T) LIMITED,Australia,854442000000.0,627355.42
ADDA1099286,7.Mar.22,100102919,KEGERETTE PUBLIC LIMITED COMPANY,China,401699000000.0,4171.21
ADDL1099673,7.Mar.22,129457643,KENGEZE INVESTMENT COMPANY LIMITED,China,830110000000.0,3958073.28
ADDA1099146,7.Mar.22,105313292,BEHERE PHARMACY LTD.,United States,901890000000.0,11549.0
ADDL1099047,7.Mar.22,101689190,VGK CO. LTD.,China,870121000000.0,81766920.0
ADDL1098318,7.Mar.22,100144506,KENNERETEES TRADING CO. LTD.,United Arab Emirates,392114000000.0,193838.42
ADDL1099964,7.Mar.22,136238779,EPPE AGENCIES COMPANY LIMITED,China,732691000000.0,11549.0
ADSR1098766,7.Mar.22,105289170,EPEREK LIMITED,Japan,732691000000.0,1959010.67
ADDL1099387,7.Mar.22,107813896,NENKENRE HASSAN NAMKANDA (MR),Japan,870324000000.0,9608768.0
ADKA1098508,7.Mar.22,100127423,BENETE BOTTLERS LTD,United Arab Emirates,741129000000.0,13123485.81
ADDL1098330,7.Mar.22,122254232,RELPHEN FILAMENTS LIMITED,China,901780000000.0,512775.6
ADAM1099171,7.Mar.22,100220555,NERTH MARA GOLD MINE LIMITED,Germany,853650000000.0,3250230.74
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,180690000000.0,43227.97
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,200520000000.0,30890.37
ADDA1099986,7.Mar.22,100159937,TENGE CEMENT PUBLIC LIMITED COMPANY,Republic of South Africa,903149000000.0,3923842.04
ADDL1099949,7.Mar.22,100228211,ELLEENKE ONE TOBACCO LIMITED,Turkey,481910000000.0,12600998.41
ADHL1099139,7.Mar.22,102470966,LEE PLASTICS LIMITED,Thailand,390230000000.0,235876776.0
ADDA1099227,7.Mar.22,100146193,NENTREK LIMITED,Malaysia,401693000000.0,1574960.23
ADDA1098507,7.Mar.22,117840417,PREPER EDUCATION NETWORK COMPANY LTD,United Kingdom,490199000000.0,92763.88
ADDA1098576,7.Mar.22,103299292,THE EMBASSY OF THE PEOPLE'S REPUBLIC OF CHINA,China,581099000000.0,1227334.75
ADDL1099646,7.Mar.22,100185660,NESUNEN PRINTWAYS & STATIONERS LTD.,China,847290000000.0,42315.54
ADDL1099153,7.Mar.22,100101505,L. N. SHAH (1977) LTD.,India,950300000000.0,394698.62
ADDL1099725,7.Mar.22,100115387,KER & GENERAL TRADING LTD,India,870322000000.0,3792691.6
ADDA1098661,7.Mar.22,100144875,NEREGERE AUTOMOBILE CENTRE LTD.,Germany,842123000000.0,29019.37
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,180690000000.0,504171.68
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,180690000000.0,67965.0
ADDL1098577,7.Mar.22,121328313,VENESE PROCHES SILAYO,China,630900000000.0,66984200.0
ADDL1099964,7.Mar.22,136238779,EPPE AGENCIES COMPANY LIMITED,China,850440000000.0,41576.4
ADDL1099934,7.Mar.22,140647462,EL HUSNAIN TRADERS LIMITED,Japan,870422000000.0,6265424.89
ADDL1099813,7.Mar.22,122855929,STEG INTERNATIONAL SERVICES,China,730820000000.0,152827917.0
ADDL1099934,7.Mar.22,140647462,EL HUSNAIN TRADERS LIMITED,Japan,870323000000.0,4213999.12
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,190220000000.0,83054.59
ADDA1099491,7.Mar.22,119812356,SENSUNG ELECTRONICS EAST LIMITED,Kenya,961000000000.0,2258984.4
ADDL1098330,7.Mar.22,122254232,RELPHEN FILAMENTS LIMITED,China,901780000000.0,406524.8
ADNG1099601,7.Mar.22,102131509,BREGHT CHOICE LTD.,Kenya,21020000000.0,14759160.04
ADDL1099153,7.Mar.22,100101505,L. N. SHAH (1977) LTD.,India,950300000000.0,73405.44
ADDL1099153,7.Mar.22,100101505,L. N. SHAH (1977) LTD.,India,950300000000.0,315980.64
ADDA1099583,7.Mar.22,100100711,NES TYRE SERVICES LIMITED,Italy,848180000000.0,3896082.92
ADDL1099964,7.Mar.22,136238779,EPPE AGENCIES COMPANY LIMITED,China,850720000000.0,1330444.8
ADSR1098481,7.Mar.22,123925947,REBERT MASESE CHAGINA,Kenya,551110000000.0,48505800.0
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,190591000000.0,26870.6
ADDA1098468,7.Mar.22,100149192,NEK PUBLIC LIMITED COMPANY,Estonia,851770000000.0,247137.75
ADDL1098318,7.Mar.22,100144506,KENNERETEES TRADING CO. LTD.,United Arab Emirates,940340000000.0,1170606.64
ADDA1098589,7.Mar.22,100168375,PREKESEEN AIR SERVICES LTD.,France,880330000000.0,32916385.59
ADAM1099171,7.Mar.22,100220555,NERTH MARA GOLD MINE LIMITED,Germany,854790000000.0,28939321.45
ADKR1099505,7.Mar.22,102902157,ENRBEYENR LIMITED,Republic of South Africa,630259000000.0,381667.36
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,40690000000.0,4298.06
ADDL1098318,7.Mar.22,100144506,KENNERETEES TRADING CO. LTD.,United Arab Emirates,940340000000.0,292651.66
ADDL1098794,7.Mar.22,121911329,SEEBEE TRUCKPARTS,China,870899000000.0,8287215.93
ADDA1098548,7.Mar.22,101060195,NEREKEL STORES DEPARTMENT.,China,382200000000.0,9585670.0
ADDL1099813,7.Mar.22,122855929,STEG INTERNATIONAL SERVICES,China,853590000000.0,14724975.0
ADDL1099979,7.Mar.22,137042614,KK GLOBAL LIMITED,United Kingdom,846595000000.0,8534276.87
ADDL1099964,7.Mar.22,136238779,EPPE AGENCIES COMPANY LIMITED,China,960390000000.0,150137.0
ADDL1099979,7.Mar.22,137042614,KK GLOBAL LIMITED,United Kingdom,940140000000.0,154606.47
ADDA1099615,7.Mar.22,100230844,ENSEGNEE LTD,India,847990000000.0,318752.4
ADDA1099227,7.Mar.22,100146193,NENTREK LIMITED,United Kingdom,401039000000.0,423247.75
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,392490000000.0,278291.64
ADDL1098235,7.Mar.22,133069143,KENU EQUIPMENT LIMITED,Republic of South Africa,843149000000.0,2823490.28
ADDL1099964,7.Mar.22,136238779,EPPE AGENCIES COMPANY LIMITED,China,870899000000.0,10394.1
ADDA1098661,7.Mar.22,100144875,NEREGERE AUTOMOBILE CENTRE LTD.,Germany,401039000000.0,114439.71
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,40310000000.0,30302.87
ADDL1099905,7.Mar.22,100228211,ELLEENKE ONE TOBACCO LIMITED,Turkey,481910000000.0,1338344.32
ADDL1099964,7.Mar.22,136238779,EPPE AGENCIES COMPANY LIMITED,China,610690000000.0,180164.4
ADTP1100006,7.Mar.22,100159996,TENGE PHARMACEUTICAL & PLASTICS LTD,India,271020000000.0,441872408.5
ADDA1098684,7.Mar.22,100181762,NEHENNER ENTERPRISES (T) LTD,United Arab Emirates,841510000000.0,220632.1
ADNG1099642,7.Mar.22,100147785,REVES AND SHIRTLIFF LTD,Italy,902620000000.0,4170475.81
ADDA1098684,7.Mar.22,100181762,NEHENNER ENTERPRISES (T) LTD,United Arab Emirates,845090000000.0,63126.83
ADDA1099602,7.Mar.22,103254302,BRETESH HIGH COMMISSION,United Kingdom,950300000000.0,108224.53
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,180690000000.0,45423.38
ADDL1098466,7.Mar.22,140478954,BELEKEEN MATHIAS SHITOBELO,China,380891000000.0,4157640.0
ADDL1099630,7.Mar.22,100115387,KER & GENERAL TRADING LTD,India,870322000000.0,3792691.6
ADDL1099657,7.Mar.22,100115387,KER & GENERAL TRADING LTD,India,870322000000.0,3792691.6
ADDL1098791,7.Mar.22,129099453,KERE CERAMICS COMPANY LIMITED,China,870830000000.0,214811.4
ADDA1099602,7.Mar.22,103254302,BRETESH HIGH COMMISSION,United Kingdom,961901000000.0,139145.82
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,180690000000.0,21613.98
ADDL1099813,7.Mar.22,122855929,STEG INTERNATIONAL SERVICES,China,940540000000.0,15129190.0
ADDL1099153,7.Mar.22,100101505,L. N. SHAH (1977) LTD.,India,950300000000.0,79133.75
ADDA1099950,7.Mar.22,101327086,SHEPPERS SUPERMARKET LTD.,United Kingdom,40221000000.0,49412.23
ADHO1098436,7.Mar.22,100113325,KHELER MBARAK SALIM (MR),Kenya,210120000000.0,230980.0
ADDA1098612,7.Mar.22,100719320,UBX LIIMITED,China,847170000000.0,1048649.2
ADKR1099505,7.Mar.22,102902157,ENRBEYENR LIMITED,China,940600000000.0,1060187.1
